weight,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,state,YYYYMM
1777.4253,57,1,1,1,8620,-1,2,1,33860,1,2020-06-01
1760.9024,57,1,2,1,-1,-1,2,1,33860,1,2020-06-01
1880.754,57,2,1,1,6835,-1,2,2,33860,1,2020-06-01
3519.4943,57,1,2,1,2300,-1,2,2,33860,1,2020-06-01
2337.6842,57,1,1,1,800,-1,2,2,33860,1,2020-06-01
3999.6025,57,2,2,1,4710,-1,2,2,33860,1,2020-06-01
3595.6193,57,2,2,1,-1,-1,2,2,33860,1,2020-06-01
2230.1537,57,1,2,1,2360,-1,2,2,33860,1,2020-06-01
1438.2522,57,1,1,1,5860,-1,2,2,33860,1,2020-06-01
1438.2522,57,1,1,1,-1,-1,2,1,33860,1,2020-06-01
1975.8568,57,2,2,1,-1,-1,2,1,33860,1,2020-06-01
2285.8498,57,2,2,1,5400,-1,2,1,33860,1,2020-06-01
1578.2605,57,1,1,1,500,-1,2,2,19300,1,2020-06-01
1835.6372,120,1,2,1,710,-1,1,2,19300,1,2020-06-01
1679.8021,57,2,1,1,-1,-1,2,2,19300,1,2020-06-01
2138.1871,57,1,2,1,-1,-1,2,2,19300,1,2020-06-01
2099.2925,57,1,1,1,4251,-1,2,1,19300,1,2020-06-01
1679.8021,57,2,1,1,-1,-1,2,2,19300,1,2020-06-01
1872.1019,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
1790.8426,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
2020.4751,57,1,2,1,5110,-1,2,1,13820,1,2020-06-01
2075.8056,57,1,1,1,3402,3740,2,2,13820,1,2020-06-01
2197.0031,57,2,1,1,3740,-1,2,2,13820,1,2020-06-01
2337.5485,57,2,2,1,725,-1,2,2,13820,1,2020-06-01
1609.3354,57,1,1,1,4220,-1,2,1,22520,1,2020-06-01
2061.4624,57,1,2,1,5521,-1,2,2,22520,1,2020-06-01
1997.8093,57,2,1,1,-1,-1,2,2,22520,1,2020-06-01
1942.1162,57,2,2,1,-1,-1,2,2,22520,1,2020-06-01
2734.8924,57,2,1,1,8990,-1,2,1,22520,1,2020-06-01
2195.8856,57,2,2,1,-1,-1,2,1,22520,1,2020-06-01
1649.8957,57,1,1,1,-1,-1,2,2,22520,1,2020-06-01
1683.8553,57,1,2,1,-1,-1,2,1,22520,1,2020-06-01
1909.1603,57,2,2,1,4110,-1,2,2,22520,1,2020-06-01
2013.195,57,1,2,1,5550,-1,2,2,22520,1,2020-06-01
2099.2925,57,1,1,1,5550,-1,2,1,22520,1,2020-06-01
1909.1603,57,1,2,1,51,-1,2,2,22520,1,2020-06-01
1873.9772,57,1,1,1,3090,-1,2,2,22520,1,2020-06-01
1642.5244,57,2,1,1,-1,-1,2,2,22520,1,2020-06-01
3085.6189,57,2,2,1,-1,-1,2,2,22520,1,2020-06-01
4412.7018,57,2,2,1,-1,-1,2,2,22520,1,2020-06-01
2035.0135,57,1,2,1,-1,-1,2,2,22520,1,2020-06-01
2824.5944,57,1,1,1,9720,-1,2,1,22520,1,2020-06-01
3962.2562,57,2,1,1,9645,-1,2,2,22520,1,2020-06-01
2018.5802,57,1,2,1,4920,-1,2,2,33860,1,2020-06-01
2065.2987,57,1,1,1,7220,-1,2,1,33860,1,2020-06-01
4148.2009,57,2,1,1,7220,-1,2,1,33860,1,2020-06-01
1679.8362,57,1,2,1,-1,-1,2,1,33860,1,2020-06-01
1658.8162,57,1,1,1,-1,-1,2,2,33860,1,2020-06-01
2472.13,57,2,2,1,5860,-1,2,1,33860,1,2020-06-01
2557.6295,57,2,1,1,3323,-1,2,2,33860,1,2020-06-01
2424.8046,57,2,2,1,5740,-1,2,2,13820,1,2020-06-01
1862.2325,57,2,2,1,5240,-1,2,2,13820,1,2020-06-01
2279.0129,57,2,1,1,9005,-1,2,1,13820,1,2020-06-01
2095.8955,57,2,2,1,-1,-1,2,1,13820,1,2020-06-01
1848.6031,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
1658.8162,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
3343.0684,57,1,1,1,8025,-1,2,2,13820,1,2020-06-01
2652.2831,110,1,2,1,2435,-1,2,2,13820,1,2020-06-01
3154.2949,110,2,2,1,-1,-1,2,2,13820,1,2020-06-01
1980.5356,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
2296.9212,57,1,1,1,9265,-1,2,2,13820,1,2020-06-01
1857.6913,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
1941.9838,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
2548.8797,57,1,2,1,4920,-1,2,2,13820,1,2020-06-01
2598.4383,57,1,1,1,9265,-1,2,2,13820,1,2020-06-01
3742.604,57,2,1,1,-1,-1,2,2,13820,1,2020-06-01
1983.9531,57,2,2,1,-1,-1,2,2,13820,1,2020-06-01
2418.6592,57,1,1,1,5160,-1,2,2,13820,1,2020-06-01
2021.6836,57,1,2,1,5940,-1,2,2,13820,1,2020-06-01
2536.381,57,2,1,1,-1,-1,2,2,13820,1,2020-06-01
1433.3469,57,2,2,1,-1,-1,2,2,13820,1,2020-06-01
1919.6104,57,2,2,1,-1,-1,2,1,13820,1,2020-06-01
2204.069,57,2,1,1,9620,-1,2,1,13820,1,2020-06-01
1919.6104,57,2,2,1,-1,-1,2,1,13820,1,2020-06-01
1919.6104,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
2495.6369,57,2,2,1,-1,-1,2,1,13820,1,2020-06-01
2690.0247,57,2,2,1,3603,-1,2,2,13820,1,2020-06-01
1718.265,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
1784.2642,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
2690.0247,57,1,2,1,-1,-1,2,2,13820,1,2020-06-01
2048.3169,57,1,2,1,5810,-1,2,2,13820,1,2020-06-01
1598.086,57,1,1,1,-1,-1,2,2,13820,1,2020-06-01
1754.4825,57,1,1,1,4840,-1,2,2,13820,1,2020-06-01
2095.6744,57,1,2,1,4130,-1,2,2,13820,1,2020-06-01
2424.5488,57,2,2,1,3310,-1,2,2,13820,1,2020-06-01
2278.7725,57,2,1,1,-1,-1,2,2,13820,1,2020-06-01
1862.036,57,2,2,1,230,-1,2,2,13820,1,2020-06-01
3188.0638,57,2,2,1,8740,-1,2,2,13820,1,2020-06-01
2427.1469,57,2,2,1,-1,-1,2,2,13820,1,2020-06-01
3714.7945,57,2,1,1,-1,-1,2,2,13820,1,2020-06-01
2292.7421,57,2,2,1,3602,-1,2,2,13820,1,2020-06-01
1870.6011,57,2,2,1,-1,-1,2,2,13820,1,2020-06-01
1617.1029,57,2,1,1,-1,-1,2,2,13820,1,2020-06-01
1857.8527,57,2,1,1,7740,-1,2,1,22520,1,2020-06-01
2463.4131,57,2,2,1,4850,-1,2,2,22520,1,2020-06-01
1612.4928,57,2,1,1,-1,-1,2,2,22520,1,2020-06-01
2035.0135,57,1,2,1,5000,-1,2,2,12220,1,2020-06-01
2195.0277,57,1,1,1,3010,-1,2,2,12220,1,2020-06-01
1903.8173,57,2,2,1,-1,-1,2,2,12220,1,2020-06-01
1706.4823,57,2,2,1,-1,-1,2,2,12220,1,2020-06-01
1746.8512,57,2,2,1,-1,-1,2,2,12220,1,2020-06-01
2727.1499,57,2,1,1,-1,-1,2,2,12220,1,2020-06-01
1842.7085,57,1,1,1,-1,-1,2,2,12220,1,2020-06-01
2361.8572,57,1,2,1,-1,-1,2,2,12220,1,2020-06-01
1957.8555,57,2,2,1,440,-1,2,2,26620,1,2020-06-01
2170.8326,57,2,1,1,-1,-1,2,2,26620,1,2020-06-01
2337.6842,210,1,1,2,5522,-1,2,2,26620,1,2020-06-01
2932.6925,210,1,2,2,2310,-1,2,2,26620,1,2020-06-01
2948.6036,210,2,2,1,-1,-1,2,2,26620,1,2020-06-01
2801.1172,57,1,2,1,4150,-1,2,1,26620,1,2020-06-01
2118.5476,57,2,2,1,4220,-1,2,2,26620,1,2020-06-01
2118.5476,57,2,2,1,4600,-1,2,2,26620,1,2020-06-01
3317.7424,57,2,1,1,1410,-1,2,2,26620,1,2020-06-01
3073.6662,57,2,2,1,3603,-1,2,2,26620,1,2020-06-01
1962.7337,57,2,1,1,-1,-1,2,2,26620,1,2020-06-01
2418.6592,57,1,1,1,60,-1,2,2,26620,1,2020-06-01
2021.6836,57,1,2,1,4600,-1,2,2,26620,1,2020-06-01
2768.1766,57,2,2,1,4350,-1,2,1,26620,1,2020-06-01
2241.4143,57,1,1,1,440,-1,2,2,26620,1,2020-06-01
2285.8498,57,1,2,1,2435,-1,2,2,26620,1,2020-06-01
1850.8673,57,2,1,1,4220,-1,2,1,26620,1,2020-06-01
1850.8673,57,2,1,1,6355,-1,2,1,26620,1,2020-06-01
3548.31,57,1,1,1,-1,-1,2,1,26620,1,2020-06-01
3447.415,57,1,2,1,-1,-1,2,1,26620,1,2020-06-01
1950.753,57,1,1,1,8810,-1,2,1,26620,1,2020-06-01
2029.9955,57,1,2,1,5350,-1,2,1,26620,1,2020-06-01
2251.628,57,2,1,1,-1,-1,2,2,26620,1,2020-06-01
3348.0194,57,2,2,1,-1,-1,2,2,26620,1,2020-06-01
1826.4408,57,1,2,1,7700,-1,2,2,26620,1,2020-06-01
1843.5786,57,1,1,1,-1,-1,2,2,26620,1,2020-06-01
2784.0273,57,1,2,1,440,-1,2,2,26620,1,2020-06-01
3509.1253,57,1,1,1,1530,-1,2,2,26620,1,2020-06-01
2213.4911,57,2,2,1,-1,-1,2,2,26620,1,2020-06-01
2312.1406,57,2,1,1,-1,-1,2,2,26620,1,2020-06-01
2745.7529,57,1,1,1,4500,-1,2,2,26620,1,2020-06-01
2352.2659,57,1,2,1,4840,-1,2,2,26620,1,2020-06-01
4199.9739,57,2,2,1,1108,-1,2,2,26620,1,2020-06-01
3425.4226,57,2,2,1,-1,-1,2,2,26620,1,2020-06-01
1886.8996,57,1,1,1,8810,-1,2,1,26620,1,2020-06-01
2024.1551,57,1,2,1,440,-1,2,2,26620,1,2020-06-01
2631.9561,57,2,2,1,-1,-1,2,2,26620,1,2020-06-01
2014.9613,57,2,2,1,9640,-1,2,2,26620,1,2020-06-01
1803.6147,57,1,1,1,-1,-1,2,1,26620,1,2020-06-01
2014.9613,57,1,2,1,-1,-1,2,1,26620,1,2020-06-01
2211.3565,314,1,2,1,630,-1,2,2,33660,1,2020-06-01
1880.754,57,1,1,1,310,-1,2,2,33660,1,2020-06-01
2619.7214,314,2,2,1,-1,-1,2,2,33660,1,2020-06-01
2107.788,314,2,1,1,-1,-1,2,2,33660,1,2020-06-01
2679.5637,314,2,1,1,-1,-1,2,2,33660,1,2020-06-01
2577.1971,57,2,2,1,3421,-1,2,2,33660,1,2020-06-01
2470.7254,57,2,2,1,137,-1,2,2,33660,1,2020-06-01
1950.9588,57,2,1,1,150,-1,2,2,33660,1,2020-06-01
2117.1784,57,2,1,1,4200,-1,2,2,33660,1,2020-06-01
2209.8999,57,1,1,1,7340,-1,2,2,33660,1,2020-06-01
1795.2204,57,1,2,1,-1,-1,2,1,33660,1,2020-06-01
2999.4086,57,2,1,1,-1,-1,2,2,33660,1,2020-06-01
3115.5113,57,2,1,1,-1,-1,2,2,33660,1,2020-06-01
2623.1385,57,2,1,1,-1,-1,2,2,33660,1,2020-06-01
1826.943,57,1,2,1,-1,-1,2,2,33660,1,2020-06-01
1602.0569,57,1,1,1,9130,-1,2,1,33660,1,2020-06-01
1826.943,57,2,2,1,-1,-1,2,2,33660,1,2020-06-01
1864.71,57,2,1,1,-1,-1,2,2,33660,1,2020-06-01
2259.7326,57,2,2,1,3801,-1,2,2,33660,1,2020-06-01
2204.069,57,2,1,1,9130,-1,2,1,33660,1,2020-06-01
1598.086,57,2,1,1,-1,-1,2,1,33660,1,2020-06-01
1818.2721,57,1,2,1,4920,-1,2,2,33660,1,2020-06-01
1781.6015,57,1,1,1,-1,-1,2,2,33660,1,2020-06-01
1957.3339,57,1,1,1,110,-1,2,2,33660,1,2020-06-01
