,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,12220,2021-06-01,1634.729
1,1,57,1,1,1,-1,-1,2,1,13820,2021-06-01,11752.205100000001
2,1,57,1,1,1,-1,-1,2,1,19300,2021-06-01,4034.6736
3,1,57,1,1,1,-1,-1,2,1,22520,2021-06-01,14165.451000000001
4,1,57,1,1,1,-1,-1,2,1,26620,2021-06-01,6755.4915
5,1,57,1,1,1,-1,-1,2,1,33660,2021-06-01,8951.7803
6,1,57,1,1,1,-1,-1,2,1,33860,2021-06-01,3291.2487
7,1,57,1,1,1,-1,-1,2,2,12220,2021-06-01,8709.420900000001
8,1,57,1,1,1,-1,-1,2,2,13820,2021-06-01,39269.6036
9,1,57,1,1,1,-1,-1,2,2,19300,2021-06-01,18382.4413
10,1,57,1,1,1,-1,-1,2,2,22520,2021-06-01,14469.5567
11,1,57,1,1,1,-1,-1,2,2,26620,2021-06-01,22183.8527
12,1,57,1,1,1,-1,-1,2,2,33660,2021-06-01,17941.0311
13,1,57,1,1,1,-1,-1,2,2,33860,2021-06-01,17908.2218
14,1,57,1,1,1,10,-1,2,2,13820,2021-06-01,2794.2821
15,1,57,1,1,1,20,-1,2,1,33860,2021-06-01,3349.1827
16,1,57,1,1,1,20,-1,2,2,13820,2021-06-01,5646.5352
17,1,57,1,1,1,20,-1,2,2,26620,2021-06-01,1885.4234
18,1,57,1,1,1,51,-1,2,2,19300,2021-06-01,2642.6636
19,1,57,1,1,1,52,-1,2,1,33860,2021-06-01,3970.622
20,1,57,1,1,1,101,-1,2,2,33860,2021-06-01,1871.8616
21,1,57,1,1,1,102,-1,2,2,22520,2021-06-01,1891.5054
22,1,57,1,1,1,120,-1,2,2,26620,2021-06-01,2157.307
23,1,57,1,1,1,140,-1,2,2,26620,2021-06-01,1690.8078
24,1,57,1,1,1,150,-1,2,2,26620,2021-06-01,4057.6881999999996
25,1,57,1,1,1,220,-1,2,1,13820,2021-06-01,4536.7723
26,1,57,1,1,1,220,-1,2,1,26620,2021-06-01,2036.9294
27,1,57,1,1,1,220,-1,2,2,13820,2021-06-01,2784.5813
28,1,57,1,1,1,300,-1,2,2,19300,2021-06-01,2630.9899
29,1,57,1,1,1,300,-1,2,2,33660,2021-06-01,1941.7763
30,1,57,1,1,1,310,-1,2,1,13820,2021-06-01,2234.1784
31,1,57,1,1,1,310,-1,2,1,19300,2021-06-01,1789.8434
32,1,57,1,1,1,310,-1,2,1,33660,2021-06-01,1647.4047
33,1,57,1,1,1,310,-1,2,2,13820,2021-06-01,1811.8813
34,1,57,1,1,1,310,-1,2,2,22520,2021-06-01,1828.1581
35,1,57,1,1,1,410,-1,2,2,19300,2021-06-01,2379.7367
36,1,57,1,1,1,440,-1,2,1,19300,2021-06-01,3621.5024
37,1,57,1,1,1,440,-1,2,2,12220,2021-06-01,1701.308
38,1,57,1,1,1,440,-1,2,2,13820,2021-06-01,9196.1332
39,1,57,1,1,1,440,-1,2,2,19300,2021-06-01,1891.5054
40,1,57,1,1,1,440,-1,2,2,26620,2021-06-01,3828.0054
41,1,57,1,1,1,530,-1,2,1,22520,2021-06-01,1958.9269
42,1,57,1,1,1,600,-1,2,2,19300,2021-06-01,1693.7927
43,1,57,1,1,1,630,-1,2,2,33660,2021-06-01,1871.1701
44,1,57,1,1,1,705,-1,2,2,13820,2021-06-01,2012.9755
45,1,57,1,1,1,710,-1,2,2,22520,2021-06-01,2016.2299
46,1,57,1,1,1,735,-1,2,2,26620,2021-06-01,1771.9403
47,1,57,1,1,1,750,-1,2,1,33860,2021-06-01,1988.7216
48,1,57,1,1,1,800,-1,2,2,13820,2021-06-01,1661.9396
49,1,57,1,1,1,800,-1,2,2,26620,2021-06-01,2019.6078
50,1,57,1,1,1,910,-1,2,2,12220,2021-06-01,1701.308
51,1,57,1,1,1,1006,-1,2,2,12220,2021-06-01,2182.3291
52,1,57,1,1,1,1006,-1,2,2,26620,2021-06-01,2785.4314
53,1,57,1,1,1,1010,-1,2,2,13820,2021-06-01,2108.1462
54,1,57,1,1,1,1021,-1,2,2,13820,2021-06-01,1866.6846
55,1,57,1,1,1,1021,-1,2,2,22520,2021-06-01,2170.2017
56,1,57,1,1,1,1021,-1,2,2,26620,2021-06-01,2750.932
57,1,57,1,1,1,1021,-1,2,2,33860,2021-06-01,1863.1722
58,1,57,1,1,1,1031,-1,2,1,26620,2021-06-01,2119.1781
59,1,57,1,1,1,1108,-1,2,1,12220,2021-06-01,2338.6844
60,1,57,1,1,1,1305,-1,2,2,19300,2021-06-01,2072.4019
61,1,57,1,1,1,1320,-1,2,2,22520,2021-06-01,2095.1579
62,1,57,1,1,1,1350,-1,2,2,33660,2021-06-01,1855.5081
63,1,57,1,1,1,1360,-1,2,2,33660,2021-06-01,2187.395
64,1,57,1,1,1,1360,-1,2,2,33860,2021-06-01,1872.1471
65,1,57,1,1,1,1430,-1,2,2,26620,2021-06-01,5528.244699999999
66,1,57,1,1,1,1530,-1,2,2,13820,2021-06-01,1855.5081
67,1,57,1,1,1,1530,-1,2,2,19300,2021-06-01,1782.4809
68,1,57,1,1,1,2004,-1,2,2,33860,2021-06-01,1960.5433
69,1,57,1,1,1,2050,-1,2,2,19300,2021-06-01,1940.1221
70,1,57,1,1,1,2100,-1,2,2,33660,2021-06-01,1734.3534
71,1,57,1,1,1,2205,-1,2,2,13820,2021-06-01,2005.7963
72,1,57,1,1,1,2205,-1,2,2,22520,2021-06-01,1836.2697
73,1,57,1,1,1,2205,-1,2,2,26620,2021-06-01,1669.3136
74,1,57,1,1,1,2310,-1,2,2,13820,2021-06-01,2415.6553
75,1,57,1,1,1,2360,-1,2,2,19300,2021-06-01,1785.8412
76,1,57,1,1,1,2634,-1,2,1,13820,2021-06-01,1701.7029
77,1,57,1,1,1,2640,-1,2,2,33660,2021-06-01,1796.4574
78,1,57,1,1,1,2810,-1,2,2,33860,2021-06-01,2466.8488
79,1,57,1,1,1,2905,-1,2,1,33860,2021-06-01,6095.082399999999
80,1,57,1,1,1,3050,-1,2,2,22520,2021-06-01,2642.6636
81,1,57,1,1,1,3090,-1,2,2,22520,2021-06-01,2092.0234
82,1,57,1,1,1,3090,-1,2,2,33860,2021-06-01,1694.703
83,1,57,1,1,1,3100,-1,2,2,13820,2021-06-01,1977.1321
84,1,57,1,1,1,3110,-1,2,2,33860,2021-06-01,1763.1864
85,1,57,1,1,1,3255,-1,1,2,13820,2021-06-01,1863.4731
86,1,57,1,1,1,3324,-1,2,2,12220,2021-06-01,1472.6308
87,1,57,1,1,1,3640,-1,2,2,12220,2021-06-01,1472.6308
88,1,57,1,1,1,3720,-1,2,2,33860,2021-06-01,1764.6515
89,1,57,1,1,1,3740,-1,2,2,19300,2021-06-01,2273.8527
90,1,57,1,1,1,3750,-1,2,2,13820,2021-06-01,2466.0959
91,1,57,1,1,1,3870,-1,2,1,13820,2021-06-01,1841.6773
92,1,57,1,1,1,3870,-1,2,2,19300,2021-06-01,1806.4448
93,1,57,1,1,1,3930,-1,2,1,12220,2021-06-01,2100.7444
94,1,57,1,1,1,3930,-1,2,1,13820,2021-06-01,1582.2027
95,1,57,1,1,1,3940,-1,2,1,13820,2021-06-01,1885.4234
96,1,57,1,1,1,4020,-1,2,2,12220,2021-06-01,2035.7736
97,1,57,1,1,1,4220,-1,2,1,22520,2021-06-01,1732.8823
98,1,57,1,1,1,4220,-1,2,2,22520,2021-06-01,3187.95
99,1,57,1,1,1,4251,-1,2,2,33660,2021-06-01,4060.3637
100,1,57,1,1,1,4461,-1,2,1,26620,2021-06-01,1841.6773
101,1,57,1,1,1,4500,-1,2,2,26620,2021-06-01,1823.7391
102,1,57,1,1,1,4621,-1,2,2,13820,2021-06-01,1988.7216
103,1,57,1,1,1,4700,-1,2,2,12220,2021-06-01,2653.579
104,1,57,1,1,1,4700,-1,2,2,13820,2021-06-01,7794.563899999999
105,1,57,1,1,1,4710,-1,2,1,13820,2021-06-01,1763.1864
106,1,57,1,1,1,4710,-1,2,1,19300,2021-06-01,2016.2299
107,1,57,1,1,1,4710,-1,2,2,13820,2021-06-01,1490.9011
108,1,57,1,1,1,4710,-1,2,2,19300,2021-06-01,4216.8056
109,1,57,1,1,1,4710,-1,2,2,33860,2021-06-01,1859.0061
110,1,57,1,1,1,4740,-1,2,1,19300,2021-06-01,2687.4923
111,1,57,1,1,1,4760,-1,2,1,12220,2021-06-01,1789.8434
