weight,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,state,YYYYMM
1596.314,57,1,2,1,910,-1,2,2,12220,1,2021-06-01
1701.308,57,1,1,1,6355,-1,2,1,12220,1,2021-06-01
1744.6683,57,2,1,1,-1,-1,2,2,12220,1,2021-06-01
1694.703,57,1,1,1,-1,-1,2,1,26620,1,2021-06-01
1702.9849,57,1,2,1,-1,-1,2,1,26620,1,2021-06-01
1476.8631,57,1,2,1,-1,-1,2,2,30780,5,2021-06-01
1315.3182,57,1,1,1,-1,-1,2,2,30780,5,2021-06-01
2521.8806,57,2,2,1,-1,-1,2,2,36420,40,2021-06-01
2984.9145,57,2,2,1,-1,-1,2,2,36420,40,2021-06-01
2408.2756,57,2,2,1,-1,-1,2,2,36420,40,2021-06-01
2792.4124,57,2,2,1,-1,-1,2,2,36420,40,2021-06-01
4021.3113,57,1,1,1,710,-1,2,2,23580,13,2021-06-01
4644.7749,57,1,2,1,120,-1,2,2,23580,13,2021-06-01
6714.0819,57,2,2,1,-1,-1,2,2,23580,13,2021-06-01
5167.3348,57,1,1,1,-1,-1,2,2,35620,34,2021-06-01
4008.8751,57,1,2,1,1065,-1,2,2,35620,34,2021-06-01
4807.462,57,2,2,1,3110,-1,2,2,35620,34,2021-06-01
5049.8356,57,2,1,1,1010,-1,2,2,35620,34,2021-06-01
4231.0681,57,1,1,1,230,-1,2,2,35620,34,2021-06-01
3685.9616,57,1,2,1,8350,-1,2,2,35620,34,2021-06-01
4093.1555,57,2,2,1,5320,-1,2,2,35620,34,2021-06-01
5562.8995,57,2,2,1,-1,-1,2,2,35620,34,2021-06-01
4273.1356,57,2,2,1,4720,-1,2,2,35620,34,2021-06-01
4273.1356,57,2,2,1,-1,-1,2,2,35620,34,2021-06-01
3371.2193,57,2,2,1,-1,-1,2,2,35620,34,2021-06-01
4220.9256,57,2,1,1,-1,-1,2,2,35620,34,2021-06-01
1513.032,57,2,1,1,-1,-1,2,1,30780,5,2021-06-01
1713.1624,57,2,2,1,5120,-1,2,2,30780,5,2021-06-01
2567.2149,57,1,2,1,-1,-1,2,2,49340,25,2021-06-01
2522.9815,57,1,1,1,-1,-1,2,2,49340,25,2021-06-01
2754.9377,57,1,1,1,9620,-1,2,1,49340,25,2021-06-01
2421.5175,57,1,2,1,-1,-1,2,1,49340,25,2021-06-01
1213.2417,57,2,1,1,-1,-1,2,2,30780,5,2021-06-01
864.5655,57,2,1,1,-1,-1,1,2,14260,16,2021-06-01
3953.1077,57,1,2,1,-1,-1,2,2,35620,36,2021-06-01
3239.7168,57,1,1,1,-1,-1,2,2,35620,36,2021-06-01
5813.5205,57,2,1,1,-1,-1,2,2,35620,36,2021-06-01
4113.3711,116,1,1,1,440,-1,2,2,29200,18,2021-06-01
3869.0066,249,1,2,1,230,-1,2,2,29200,18,2021-06-01
4046.4662,249,2,2,1,-1,-1,2,2,29200,18,2021-06-01
2468.9153,249,2,1,1,-1,-1,2,2,29200,18,2021-06-01
2547.5166,57,2,1,1,-1,-1,2,1,17900,45,2021-06-01
3858.3344,57,2,2,1,800,-1,2,2,24340,26,2021-06-01
3440.8737,57,2,1,1,-1,-1,2,2,34980,47,2021-06-01
3237.9857,57,2,2,1,-1,-1,2,2,34980,47,2021-06-01
3982.8009,110,1,2,1,540,-1,2,2,26420,48,2021-06-01
3878.8082,57,1,1,1,-1,-1,2,1,26420,48,2021-06-01
6516.136,57,1,2,1,2025,-1,2,2,12060,13,2021-06-01
3993.4176,57,1,1,1,1360,-1,2,2,12060,13,2021-06-01
5285.723,57,2,2,1,-1,-1,2,2,12060,13,2021-06-01
5543.6573,57,2,2,1,-1,-1,2,2,12060,13,2021-06-01
1479.7258,57,1,2,1,310,-1,2,2,27140,28,2021-06-01
2941.0082,57,1,1,1,4220,-1,2,2,27140,28,2021-06-01
3096.8557,57,2,2,1,-1,-1,2,2,14020,18,2021-06-01
3825.6673,57,1,2,1,20,-1,2,2,16980,17,2021-06-01
4433.2086,57,1,1,1,810,-1,2,2,16980,17,2021-06-01
3350.9709,57,2,2,1,-1,-1,2,2,16980,17,2021-06-01
4632.291,57,2,1,1,-1,-1,2,2,16980,17,2021-06-01
5276.2978,364,2,2,2,-1,-1,2,2,17980,13,2021-06-01
900.9173,57,1,1,1,4810,-1,2,2,14260,16,2021-06-01
963.0414,57,1,2,1,-1,-1,2,2,14260,16,2021-06-01
941.0215,57,2,2,1,-1,-1,2,2,14260,16,2021-06-01
